"taskId","length","completionTime","executingTime","waitTime","taskPriority","vmId","vmCapacity","vmLoadAtExecution"
57,350,0.53,0.17,0.35,10,41,2000,350
42,750,0.41,0.19,0.23,9,42,4000,1550
108,850,0.24,0.21,0.03,4,43,4000,2400
45,450,0.36,0.11,0.25,5,45,4000,1300
70,250,0.27,0.05,0.22,6,46,5000,2150
60,250,0.23,0.05,0.18,4,48,5000,2150
68,650,0.34,0.16,0.17,9,50,4000,1600
64,650,0.67,0.16,0.51,6,1,4000,800
140,50,0.36,0.01,0.35,8,2,5000,1550
3,650,0.45,0.16,0.29,9,3,4000,1000
134,250,0.63,0.08,0.55,5,4,3000,250
10,50,0.4,0.01,0.39,5,10,5000,900
182,750,0.7,0.25,0.45,10,13,3000,750
106,350,0.6,0.09,0.51,9,17,4000,350
150,150,0.3,0.03,0.27,6,18,5000,1500
19,50,0.43,0.02,0.42,9,19,3000,500
71,50,0.42,0.01,0.41,7,20,4000,750
125,350,0.28,0.09,0.19,7,21,4000,1600
84,50,0.32,0.01,0.31,7,22,5000,1200
23,150,0.28,0.03,0.25,7,23,5000,1800
137,750,0.6,0.19,0.41,10,25,4000,750
147,750,0.63,0.19,0.44,9,30,4000,750
81,350,0.63,0.09,0.54,10,31,4000,350
32,50,0.4,0.01,0.39,7,32,5000,900
148,350,0.4,0.07,0.33,7,33,5000,1300
138,150,0.43,0.05,0.38,9,36,3000,800
100,750,0.38,0.15,0.23,9,37,5000,1700
95,450,0.68,0.11,0.56,9,38,4000,700
177,750,0.6,0.19,0.41,9,42,4000,800
73,250,0.3,0.06,0.24,5,43,4000,1550
104,850,0.57,0.21,0.36,8,45,4000,850
118,450,0.36,0.09,0.27,7,46,5000,1900
133,950,0.42,0.19,0.23,4,48,5000,1900
123,950,0.57,0.24,0.34,10,50,4000,950
110,150,0.71,0.04,0.67,10,1,4000,150
196,750,0.51,0.15,0.36,8,2,5000,1500
111,350,0.54,0.09,0.45,10,3,4000,350
162,50,0.41,0.01,0.4,8,10,5000,850
175,750,0.45,0.15,0.3,6,18,5000,1350
